Pos.,Song,Artist,LINK SPOTON,LINK SPOTIFY,ID,30s-Preview,BPM,KEY,MODE,DANCEABILITY,ENERGY,VALENCE,ACOUSTICNESS,INSTRUMENTALNESS,SPEECHINESS,LIVENESS
1,Venera [Vee's Theme],Ferry Corsten,http://www.spotontrack.com/track/venera-vee-s-theme/23779972,https://open.spotify.com/track/3Zw2wnCbmJDAUFMDATwr5c,3Zw2wnCbmJDAUFMDATwr5c,https://p.scdn.co/mp3-preview/7e2d868203d0caa3b98468c8891a2391356b4001?cid=null,  135.00900000,  F#,  Major,  43%,  87%,  10%,  0%,  91%,  4%,  8%
2,now is the time,Various Artists,http://www.spotontrack.com/track/now-is-the-time/22004893,https://open.spotify.com/track/2sOW7GiGOJvaOPawzMoDjC,2sOW7GiGOJvaOPawzMoDjC,https://p.scdn.co/mp3-preview/6d80bdf4a03503378afbcc42ba796200bcd24b20?cid=null,  0.00000000,  D,  Major,  0%,  80%,  0%,  0%,  1%,  0%,  34%
3,Be Like You - Dante Klein RMX,CVBZ,http://www.spotontrack.com/track/be-like-you-dante-klein-rmx/20718359,https://open.spotify.com/track/4F47yMP9WPb2MMvOUxNHKB,4F47yMP9WPb2MMvOUxNHKB,https://p.scdn.co/mp3-preview/c641eb9a1671ae95a761d270a13b4337baa50a97?cid=null,  95.13400000,  G,  Minor,  60%,  72%,  50%,  2%,  0%,  13%,  22%
4,Legacy,Dimitri Vangelis & Wyman,http://www.spotontrack.com/track/legacy/17625950,https://open.spotify.com/track/18xIe4yCyqSr4WoLbM03t8,18xIe4yCyqSr4WoLbM03t8,https://p.scdn.co/mp3-preview/1dddc2a3416cf5dc6cb0559bb62648c704da0506?cid=null,  127.97800000,  E,  Minor,  59%,  77%,  20%,  2%,  70%,  4%,  45%
5,"Afraid, Unafraid",SLUMBERJACK,http://www.spotontrack.com/track/afraid-unafraid/17542127,https://open.spotify.com/track/3k8Vghvr9JRdXmT4GOuq9i,3k8Vghvr9JRdXmT4GOuq9i,https://p.scdn.co/mp3-preview/1e9f71a27e8d5b17b8659d3feb528f81dc708fda?cid=null,  149.91500000,  A,  Minor,  53%,  74%,  40%,  1%,  0%,  5%,  39%
6,Here Comes The Night - NGHTMRE Remix,DJ Snake,http://www.spotontrack.com/track/here-comes-the-night-nghtmre-remix/16199550,https://open.spotify.com/track/3jKqyskNFx4OpnppbG31G7,3jKqyskNFx4OpnppbG31G7,,  159.77500000,  C#,  Major,  47%,  91%,  22%,  5%,  0%,  6%,  22%
7,Touch The Sky,Cedric Gervais,http://www.spotontrack.com/track/touch-the-sky/16113598,https://open.spotify.com/track/2xQhpYSiYn5DQfr73aOTTM,2xQhpYSiYn5DQfr73aOTTM,https://p.scdn.co/mp3-preview/cab3cafbf34dab9f9b780a129685fa71668466af?cid=null,  124.02200000,  D,  Major,  63%,  96%,  11%,  16%,  2%,  3%,  20%
8,Wildcard,Mickey Valen,http://www.spotontrack.com/track/wildcard/15781777,https://open.spotify.com/track/4TcSvASmTs7HICEY6is1iX,4TcSvASmTs7HICEY6is1iX,https://p.scdn.co/mp3-preview/8ba478e4bc9ee2effc84cc59cfbbac5e984e4809?cid=null,  77.35100000,  A#,  Minor,  53%,  77%,  45%,  33%,  0%,  6%,  31%
9,On Our Own (feat. Natalie Major),Showtek,http://www.spotontrack.com/track/on-our-own-feat-natalie-major/14790202,https://open.spotify.com/track/5lA0TO9agsSK7TxpM4xHs8,5lA0TO9agsSK7TxpM4xHs8,https://p.scdn.co/mp3-preview/b91090de269e45d418c1a42a1b996ca5fffd0fe8?cid=null,  183.76000000,  A,  Minor,  47%,  85%,  35%,  8%,  0%,  6%,  10%
10,Joyride,Bassjackers,http://www.spotontrack.com/track/joyride/13037957,https://open.spotify.com/track/7v3OjlUZX85C3qz68BTtoj,7v3OjlUZX85C3qz68BTtoj,https://p.scdn.co/mp3-preview/ee0481a6987f8d77b7e8fbdb8f8aec538fd5005a?cid=null,  128.02700000,  D,  Major,  72%,  78%,  38%,  1%,  77%,  3%,  8%
