1,The Sign,Ace of Base,http://www.spotontrack.com/track/the-sign/528502,https://open.spotify.com/track/3DYVWvPh3kGwPasp7yjahc,3DYVWvPh3kGwPasp7yjahc,https://p.scdn.co/mp3-preview/5ca0168d6b58e0f993b2b741af90ecc7c9b16893?cid=null,BPM:  97.01000000,Danceability:  80%, E, Minor,Energy:  83%,Valence:  94%,Acousticness:  1%,Instrumentalness:  7%,Speechiness:  4%,Liveness:  3%
2,Still Not a Player,Big Pun,http://www.spotontrack.com/track/still-not-a-player/957291,https://open.spotify.com/track/2ntj6zoYOXfdQDzxo2kHrD,2ntj6zoYOXfdQDzxo2kHrD,https://p.scdn.co/mp3-preview/6c89d99b465483c7b403067869855dfd14f51ffa?cid=null,BPM:  94.06900000,Danceability:  90%, E, Minor,Energy:  65%,Valence:  87%,Acousticness:  19%,Instrumentalness:  0%,Speechiness:  28%,Liveness:  9%
3,Lovefool - Radio Edit,The Cardigans,http://www.spotontrack.com/track/lovefool-radio-edit/844721,https://open.spotify.com/track/1eRqy8jW4ZLMJR6dl3xsgI,1eRqy8jW4ZLMJR6dl3xsgI,,BPM:  111.82900000,Danceability:  64%, A, Major,Energy:  60%,Valence:  95%,Acousticness:  4%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  29%
4,Thank You,Dido,http://www.spotontrack.com/track/thank-you/708862,https://open.spotify.com/track/751gBcu62kORDelX7FV0mM,751gBcu62kORDelX7FV0mM,https://p.scdn.co/mp3-preview/f8472f573d8b9ff945ec43fea28d3e3769fa3237?cid=null,BPM:  79.98000000,Danceability:  72%, C#, Minor,Energy:  60%,Valence:  74%,Acousticness:  28%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  7%
5,Save Tonight,Eagle-Eye Cherry,http://www.spotontrack.com/track/save-tonight/37074,https://open.spotify.com/track/2hdhm6piUJnmKXmEmskXCg,2hdhm6piUJnmKXmEmskXCg,,BPM:  119.58900000,Danceability:  55%, C, Major,Energy:  70%,Valence:  59%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  12%
6,The Way,Fastball,http://www.spotontrack.com/track/the-way/38188,https://open.spotify.com/track/7IsEXPk6qqt30FfQv4SZMa,7IsEXPk6qqt30FfQv4SZMa,,BPM:  120.84000000,Danceability:  65%, F#, Minor,Energy:  87%,Valence:  91%,Acousticness:  15%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  31%
7,Hey Jealousy,Gin Blossoms,http://www.spotontrack.com/track/hey-jealousy/1504825,https://open.spotify.com/track/52Py0IQ1puyFUQuBJ46Ze2,52Py0IQ1puyFUQuBJ46Ze2,,BPM:  153.05500000,Danceability:  39%, F#, Minor,Energy:  92%,Valence:  49%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  34%
8,The Reason,Hoobastank,http://www.spotontrack.com/track/the-reason/23736599,https://open.spotify.com/track/1lHtE5JDCas1EwXhQIMOIj,1lHtE5JDCas1EwXhQIMOIj,,BPM:  82.90400000,Danceability:  45%, E, Major,Energy:  67%,Valence:  7%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  15%
9,Drive,Incubus,http://www.spotontrack.com/track/drive/32293,https://open.spotify.com/track/7nnWIPM5hwE3DaUBkvOIpy,7nnWIPM5hwE3DaUBkvOIpy,https://p.scdn.co/mp3-preview/529519c74312d9a940114264e608f8cbf779628a?cid=null,BPM:  90.56500000,Danceability:  65%, E, Minor,Energy:  79%,Valence:  66%,Acousticness:  6%,Instrumentalness:  1%,Speechiness:  4%,Liveness:  12%
10,One Of Us - Short Version,Joan Osborne,http://www.spotontrack.com/track/one-of-us-short-version/964331,https://open.spotify.com/track/39aRmixB9qNtCU2t8BmsC1,39aRmixB9qNtCU2t8BmsC1,,BPM:  87.60300000,Danceability:  46%, A, Major,Energy:  59%,Valence:  33%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  2%,Liveness:  34%
11,All My Life,K-Ci & JoJo,http://www.spotontrack.com/track/all-my-life/1173852,https://open.spotify.com/track/2LuubKHueqlJbx0ylKGFmy,2LuubKHueqlJbx0ylKGFmy,,BPM:  128.01900000,Danceability:  63%, C#, Major,Energy:  50%,Valence:  18%,Acousticness:  14%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  6%
12,Stay,Lisa Loeb,http://www.spotontrack.com/track/stay/528563,https://open.spotify.com/track/0jlgrHvssAloyAidZ1aJzs,0jlgrHvssAloyAidZ1aJzs,,BPM:  80.39600000,Danceability:  67%, C#, Major,Energy:  61%,Valence:  37%,Acousticness:  48%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  13%
13,3AM,Matchbox Twenty,http://www.spotontrack.com/track/3am/259570,https://open.spotify.com/track/5vYA1mW9g2Coh1HUFUSmlb,5vYA1mW9g2Coh1HUFUSmlb,https://p.scdn.co/mp3-preview/cb68c9ae8925bb3fc45544e5f21de17df18b957d?cid=null,BPM:  108.03100000,Danceability:  52%, G#, Major,Energy:  67%,Valence:  53%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  12%
