1,Hideaway,MAGIC GIANT,http://www.spotontrack.com/track/hideaway/23338188,https://open.spotify.com/track/3bAgQ4fNuTVf98RtiVgKRv,3bAgQ4fNuTVf98RtiVgKRv,,BPM:  124.02100000,Danceability:  61%, F#, Minor,Energy:  92%,Valence:  72%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  20%
2,Awake,Freedom Fry,http://www.spotontrack.com/track/awake/7064039,https://open.spotify.com/track/0pXkRtFSYDSln6ITAPLPeP,0pXkRtFSYDSln6ITAPLPeP,https://p.scdn.co/mp3-preview/0d2a34d36c8ed302c0c13712acbab37b8cbeebf6?cid=null,BPM:  111.98600000,Danceability:  62%, B, Minor,Energy:  75%,Valence:  55%,Acousticness:  65%,Instrumentalness:  21%,Speechiness:  3%,Liveness:  26%
3,Good Morning - Acoustic,Grouplove,http://www.spotontrack.com/track/good-morning-acoustic/14859208,https://open.spotify.com/track/3dseTWHZwSGZB2HJpfAgsn,3dseTWHZwSGZB2HJpfAgsn,https://p.scdn.co/mp3-preview/444c357c27ec47105a71db6f2745ef046f1dcb8d?cid=null,BPM:  94.95000000,Danceability:  56%, C#, Major,Energy:  63%,Valence:  60%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  3%
4,Amadeus,Family and Friends,http://www.spotontrack.com/track/amadeus/65984,https://open.spotify.com/track/4F9jpNQDKRFoyM4Ebpni6S,4F9jpNQDKRFoyM4Ebpni6S,https://p.scdn.co/mp3-preview/16ca8d7f8c1a6eea666324384fa127fa208db6d2?cid=null,BPM:  146.91700000,Danceability:  43%, B, Minor,Energy:  72%,Valence:  18%,Acousticness:  18%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  25%
5,Riptide,Vance Joy,http://www.spotontrack.com/track/riptide/1190,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm,7yq4Qj7cqayVTp3FF9CWbm,https://p.scdn.co/mp3-preview/0dd45171d094ca8d374219054879662fe7982462?cid=null,BPM:  101.65400000,Danceability:  48%, C#, Major,Energy:  73%,Valence:  50%,Acousticness:  43%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  15%
6,1957,Milo Greene,http://www.spotontrack.com/track/1957/137344,https://open.spotify.com/track/08cXy6KUizaAelYXtcew3w,08cXy6KUizaAelYXtcew3w,https://p.scdn.co/mp3-preview/a2bee16295a2cfdb9fecfcd8203115dd6151cc49?cid=null,BPM:  190.04300000,Danceability:  39%, C#, Major,Energy:  60%,Valence:  58%,Acousticness:  66%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  18%
7,Life's What You Make It,Graham Colton,http://www.spotontrack.com/track/life-s-what-you-make-it/666624,https://open.spotify.com/track/5rRDCbF97rcJW0ES9RhPhC,5rRDCbF97rcJW0ES9RhPhC,https://p.scdn.co/mp3-preview/97c70847a11eb8db22b99a626feb3ffea5aeb70b?cid=null,BPM:  112.97400000,Danceability:  66%, G, Major,Energy:  69%,Valence:  54%,Acousticness:  37%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
8,Either Way,Beta Radio,http://www.spotontrack.com/track/either-way/584046,https://open.spotify.com/track/3ihp0qYSN89GBnrgF6GhRh,3ihp0qYSN89GBnrgF6GhRh,https://p.scdn.co/mp3-preview/9b53808e908fd6f7ee73a1c995009d1998793b07?cid=null,BPM:  77.57800000,Danceability:  65%, G#, Major,Energy:  62%,Valence:  90%,Acousticness:  64%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  7%
9,One + One,Graeme James,http://www.spotontrack.com/track/one-one/2101569,https://open.spotify.com/track/2JSFoukATm26pxNGLfhAWe,2JSFoukATm26pxNGLfhAWe,https://p.scdn.co/mp3-preview/969c3698e1d52b98354df15d185097095c0d29a1?cid=null,BPM:  172.12400000,Danceability:  76%, G, Major,Energy:  54%,Valence:  49%,Acousticness:  44%,Instrumentalness:  0%,Speechiness:  11%,Liveness:  7%
10,Sedona,Houndmouth,http://www.spotontrack.com/track/sedona/164288,https://open.spotify.com/track/2kG5litgxXvx6ZRgwO1v7W,2kG5litgxXvx6ZRgwO1v7W,https://p.scdn.co/mp3-preview/92c941c847c2841d5a09cefc8c6f30fc3122163f?cid=null,BPM:  135.17700000,Danceability:  40%, D#, Major,Energy:  68%,Valence:  25%,Acousticness:  4%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  11%
11,Love Love Love,Avalanche City,http://www.spotontrack.com/track/love-love-love/314384,https://open.spotify.com/track/3e5Ee5GrNzSnCt2laIDm3S,3e5Ee5GrNzSnCt2laIDm3S,https://p.scdn.co/mp3-preview/a871df2eff73768f40a5e38e97610b6f73805934?cid=null,BPM:  99.90900000,Danceability:  52%, F#, Major,Energy:  49%,Valence:  25%,Acousticness:  19%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  16%
12,Start Right Now (feat. Laney Jones),Young Pines,http://www.spotontrack.com/track/start-right-now-feat-laney-jones/2873306,https://open.spotify.com/track/5AqNpVjueURnEaMDzIrUl8,5AqNpVjueURnEaMDzIrUl8,https://p.scdn.co/mp3-preview/a731d4d9a4be95851d5d4846f00ae265be31f6b2?cid=null,BPM:  121.00900000,Danceability:  79%, F#, Major,Energy:  70%,Valence:  51%,Acousticness:  0%,Instrumentalness:  45%,Speechiness:  5%,Liveness:  5%
13,Dearly Departed (feat. Esmé Patterson),Shakey Graves,http://www.spotontrack.com/track/dearly-departed-feat-esme-patterson/458994,https://open.spotify.com/track/0ewrI06EIDMGXvgJxuyF3U,0ewrI06EIDMGXvgJxuyF3U,https://p.scdn.co/mp3-preview/0f99e74f244c34038ed0c9cac1d56ea3d6227cce?cid=null,BPM:  86.70300000,Danceability:  58%, G, Major,Energy:  61%,Valence:  74%,Acousticness:  30%,Instrumentalness:  0%,Speechiness:  11%,Liveness:  16%
14,Where The Skies Are Blue,The Lumineers,http://www.spotontrack.com/track/where-the-skies-are-blue/496502,https://open.spotify.com/track/3CuscN8itbT86pQFKQMIk7,3CuscN8itbT86pQFKQMIk7,https://p.scdn.co/mp3-preview/97e0b57facca284f50f708381b3ba6ad67fe4d0f?cid=null,BPM:  132.42300000,Danceability:  57%, A, Major,Energy:  48%,Valence:  56%,Acousticness:  86%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  6%
15,lovers’ carvings,Bibio,http://www.spotontrack.com/track/lovers-carvings/597522,https://open.spotify.com/track/3JeT6Xcv6MlEHHylk8SKQ1,3JeT6Xcv6MlEHHylk8SKQ1,https://p.scdn.co/mp3-preview/428e10faeb50ab3605c7d6c6c971e6fc768f1876?cid=null,BPM:  118.06000000,Danceability:  56%, G, Major,Energy:  47%,Valence:  42%,Acousticness:  68%,Instrumentalness:  91%,Speechiness:  3%,Liveness:  53%
16,King of Spain,The Tallest Man On Earth,http://www.spotontrack.com/track/king-of-spain/72242,https://open.spotify.com/track/73nQzhgyvxkYosAmTlcFm6,73nQzhgyvxkYosAmTlcFm6,,BPM:  131.37700000,Danceability:  38%, G#, Major,Energy:  49%,Valence:  39%,Acousticness:  72%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
17,Shake,The Head and the Heart,http://www.spotontrack.com/track/shake/504776,https://open.spotify.com/track/33faLM9uNVtibuZIb37MOV,33faLM9uNVtibuZIb37MOV,,BPM:  111.02500000,Danceability:  48%, E, Major,Energy:  79%,Valence:  43%,Acousticness:  47%,Instrumentalness:  71%,Speechiness:  4%,Liveness:  16%
18,Back To You,Twin Forks,http://www.spotontrack.com/track/back-to-you/584041,https://open.spotify.com/track/4l94386YhnCzduk44xzFRx,4l94386YhnCzduk44xzFRx,,BPM:  128.98700000,Danceability:  55%, D, Major,Energy:  85%,Valence:  39%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  7%
19,Call Me In The Afternoon,Half Moon Run,http://www.spotontrack.com/track/call-me-in-the-afternoon/216227,https://open.spotify.com/track/2BBb3UMJBNlofpC25pbSp4,2BBb3UMJBNlofpC25pbSp4,,BPM:  88.55400000,Danceability:  54%, C#, Major,Energy:  95%,Valence:  63%,Acousticness:  13%,Instrumentalness:  1%,Speechiness:  4%,Liveness:  10%
