1,Despacito - Remix,Luis Fonsi,http://www.spotontrack.com/track/despacito-remix/18316246,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,5CtI0qwDJkDQGwXD1H1cLb,,BPM:  88.93100000,Danceability:  69%, D, Major,Energy:  82%,Valence:  83%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  12%,Liveness:  9%
2,I'm the One,DJ Khaled,http://www.spotontrack.com/track/i-m-the-one/20614606,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2,72Q0FQQo32KJloivv5xge2,https://p.scdn.co/mp3-preview/f6fdecfbaae1ed54bcfbae1bc2b088e8807c9783?cid=null,BPM:  80.98400000,Danceability:  60%, G, Major,Energy:  67%,Valence:  81%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  13%
3,Shape of You,Ed Sheeran,http://www.spotontrack.com/track/shape-of-you/10406447,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=null,BPM:  95.97700000,Danceability:  83%, C#, Minor,Energy:  65%,Valence:  93%,Acousticness:  58%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  9%
4,HUMBLE.,Kendrick Lamar,http://www.spotontrack.com/track/humble/17622702,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS,,BPM:  150.02000000,Danceability:  90%, C#, Minor,Energy:  61%,Valence:  43%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  9%,Liveness:  10%
5,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,http://www.spotontrack.com/track/swalla-feat-nicki-minaj-ty-dolla-ign/9893334,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF,6kex4EBAj0WHXDKZMEJaaF,https://p.scdn.co/mp3-preview/9aa4e0500aae8b33d04f031c454688890ab06468?cid=null,BPM:  98.06400000,Danceability:  70%, C#, Major,Energy:  82%,Valence:  78%,Acousticness:  8%,Instrumentalness:  0%,Speechiness:  11%,Liveness:  19%
6,Despacito,Luis Fonsi,http://www.spotontrack.com/track/despacito/7066016,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,4aWmUDTfIPGksMNLV2rQP2,,BPM:  177.83300000,Danceability:  66%, D, Major,Energy:  79%,Valence:  85%,Acousticness:  21%,Instrumentalness:  0%,Speechiness:  17%,Liveness:  11%
7,There's Nothing Holdin' Me Back,Shawn Mendes,http://www.spotontrack.com/track/there-s-nothing-holdin-me-back/18941915,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,79cuOz3SPQTuFrp8WgftAu,,BPM:  121.99600000,Danceability:  86%, D, Major,Energy:  80%,Valence:  97%,Acousticness:  38%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  9%
8,It Ain't Me (with Selena Gomez),Kygo,http://www.spotontrack.com/track/it-ain-t-me-with-selena-gomez/9075073,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,3eR23VReFzcdmS7TYCrhCe,https://p.scdn.co/mp3-preview/14c4f664755de848314b8acafae1f18fcc4f8660?cid=null,BPM:  99.96800000,Danceability:  64%, C, Major,Energy:  53%,Valence:  50%,Acousticness:  12%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  9%
9,Stay (with Alessia Cara),Zedd,http://www.spotontrack.com/track/stay-with-alessia-cara/9893218,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g,0dA2Mk56wEzDgegdC6R17g,,BPM:  102.01300000,Danceability:  68%, F, Minor,Energy:  63%,Valence:  50%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  12%
10,Attention,Charlie Puth,http://www.spotontrack.com/track/attention/19048533,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv,4iLqG9SeJSnt0cSPICSjxv,https://p.scdn.co/mp3-preview/e20bdb50a10a7c5ada4bd34252bed3bfa3823b7a?cid=null,BPM:  100.04100000,Danceability:  77%, D#, Minor,Energy:  63%,Valence:  76%,Acousticness:  10%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  8%
11,That's What I Like,Bruno Mars,http://www.spotontrack.com/track/that-s-what-i-like/5576083,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,0KKkJNfGyhkQ5aFogxQAPU,https://p.scdn.co/mp3-preview/f09116ce18bd77f543e68a925e5a96509e79ac6a?cid=null,BPM:  134.06600000,Danceability:  85%, C#, Major,Energy:  56%,Valence:  85%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  9%
12,Something Just Like This,The Chainsmokers,http://www.spotontrack.com/track/something-just-like-this/16112644,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,6RUKPb4LETWmmr3iAEQktW,https://p.scdn.co/mp3-preview/cb1ae1f9e2f874dd2d19e4c29edb552777eb1e7a?cid=null,BPM:  103.01900000,Danceability:  62%, B, Minor,Energy:  64%,Valence:  44%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  16%
13,Mask Off,Future,http://www.spotontrack.com/track/mask-off/9075349,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8,3rOSwuTsUlJp0Pu0MkN8r8,https://p.scdn.co/mp3-preview/0519fc7c44d418ca6c721d9aa83e9597065288e1?cid=null,BPM:  150.07500000,Danceability:  82%, D, Major,Energy:  42%,Valence:  23%,Acousticness:  0%,Instrumentalness:  47%,Speechiness:  33%,Liveness:  17%
14,Malibu,Miley Cyrus,http://www.spotontrack.com/track/malibu/22766638,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O,2habSXqcJGExM6JJyskY7O,https://p.scdn.co/mp3-preview/85e214544e55a8fc19d57335f304792804421501?cid=null,BPM:  140.00400000,Danceability:  57%, G#, Major,Energy:  78%,Valence:  39%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  8%
15,Symphony (feat. Zara Larsson),Clean Bandit,http://www.spotontrack.com/track/symphony-feat-zara-larsson/12667051,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8,1x5sYLZiu9r5E43kMlt9f8,https://p.scdn.co/mp3-preview/45e100c336ff5ebbc5bdbae4224f25aa08fa9ca2?cid=null,BPM:  122.86300000,Danceability:  71%, C, Minor,Energy:  63%,Valence:  44%,Acousticness:  26%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  14%
16,Unforgettable,French Montana,http://www.spotontrack.com/track/unforgettable/16112738,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW,1F2HXIJrE2Xn81OzT2zZvW,https://p.scdn.co/mp3-preview/3814de3ede7445566a5b176bb23120af44da62d8?cid=null,BPM:  97.98500000,Danceability:  73%, F#, Major,Energy:  77%,Valence:  75%,Acousticness:  3%,Instrumentalness:  1%,Speechiness:  12%,Liveness:  10%
17,Felices los 4,Maluma,http://www.spotontrack.com/track/felices-los-4/19115519,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,0qYTZCo5Bwh1nsUFGZP3zn,https://p.scdn.co/mp3-preview/1833b3eee258554c6ac92d3b39786ecfcd66a605?cid=null,BPM:  93.97300000,Danceability:  76%, F, Major,Energy:  79%,Valence:  73%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  15%,Liveness:  35%
18,XO TOUR Llif3,Lil Uzi Vert,http://www.spotontrack.com/track/xo-tour-llif3/13473766,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq,2eMwDehkIC1j68U6FA3Eiq,https://p.scdn.co/mp3-preview/7add10ee576e9017030c09aa6d8bcaf682714859?cid=null,BPM:  154.88800000,Danceability:  72%, B, Minor,Energy:  67%,Valence:  53%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  11%
19,Bad Liar,Selena Gomez,http://www.spotontrack.com/track/bad-liar/23268023,https://open.spotify.com/track/1sCxVKWImDZSZKvG0U9B23,1sCxVKWImDZSZKvG0U9B23,,BPM:  121.07400000,Danceability:  95%, C#, Major,Energy:  41%,Valence:  73%,Acousticness:  18%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  8%
20,Thunder,Imagine Dragons,http://www.spotontrack.com/track/thunder-final/20522670,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj,56lBX2WHqfGuoeZxZvUnVj,,BPM:  167.87900000,Danceability:  60%, C, Major,Energy:  83%,Valence:  24%,Acousticness:  1%,Instrumentalness:  15%,Speechiness:  5%,Liveness:  12%
21,First Time,Kygo,http://www.spotontrack.com/track/first-time/20523138,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr,2Gl0FzuLxflY6nPifJp5Dr,https://p.scdn.co/mp3-preview/f5e35495b56260a06a92b308d616ab71e079e903?cid=null,BPM:  90.06600000,Danceability:  63%, C, Minor,Energy:  59%,Valence:  64%,Acousticness:  20%,Instrumentalness:  0%,Speechiness:  11%,Liveness:  10%
22,Strip That Down,Liam Payne,http://www.spotontrack.com/track/strip-that-down/23314187,https://open.spotify.com/track/6EpRaXYhGOB3fj4V2uDkMJ,6EpRaXYhGOB3fj4V2uDkMJ,,BPM:  106.02800000,Danceability:  87%, F#, Major,Energy:  49%,Valence:  54%,Acousticness:  25%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  8%
23,SUBEME LA RADIO,Enrique Iglesias,http://www.spotontrack.com/track/subeme-la-radio/9927880,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,7nKBxz47S9SD79N086fuhn,https://p.scdn.co/mp3-preview/0c5945ac04ea45dbc3f44615241bc070415a80f0?cid=null,BPM:  91.04800000,Danceability:  68%, A, Minor,Energy:  82%,Valence:  65%,Acousticness:  7%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  11%
24,Sign of the Times,Harry Styles,http://www.spotontrack.com/track/sign-of-the-times/22753117,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN,5Ohxk2dO5COHF1krpoPigN,https://p.scdn.co/mp3-preview/af237206f611b722f48620ece049aff3b8650e77?cid=null,BPM:  119.97200000,Danceability:  52%, F, Major,Energy:  60%,Valence:  21%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  11%
25,Passionfruit,Drake,http://www.spotontrack.com/track/passionfruit/12793056,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,7hDc8b7IXETo14hHIHdnhd,,BPM:  111.96100000,Danceability:  80%, B, Major,Energy:  47%,Valence:  36%,Acousticness:  29%,Instrumentalness:  8%,Speechiness:  4%,Liveness:  11%
26,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,http://www.spotontrack.com/track/pretty-girl-cheat-codes-x-cade-remix/10535022,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9,39IsH7B5byx8NRlEKlZVg9,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=null,BPM:  121.03000000,Danceability:  70%, G, Minor,Energy:  87%,Valence:  73%,Acousticness:  15%,Instrumentalness:  13%,Speechiness:  3%,Liveness:  10%
