1,Esta Noche Se Me Olvida,Julión Álvarez y su Norteño Banda,http://www.spotontrack.com/track/esta-noche-se-me-olvida/20719419,https://open.spotify.com/track/0txIzyerZkWfAaHv8Y5ylw,0txIzyerZkWfAaHv8Y5ylw,,BPM:  74.94400000,Danceability:  66%, C, Major,Energy:  39%,Valence:  82%,Acousticness:  51%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  34%
2,Para Qué Lastimarme,Gerardo Ortiz,http://www.spotontrack.com/track/para-que-lastimarme/14939519,https://open.spotify.com/track/3jK9UGmZEjHnO2IAOduZ5U,3jK9UGmZEjHnO2IAOduZ5U,https://p.scdn.co/mp3-preview/cf07dbea28396ce9ee2fa4bb9f04e8852b9453b0?cid=null,BPM:  139.99000000,Danceability:  66%, G, Major,Energy:  41%,Valence:  79%,Acousticness:  64%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  22%
3,Me Prometí Olvidarte,Banda El Recodo,http://www.spotontrack.com/track/me-prometi-olvidarte/16123276,https://open.spotify.com/track/4Yx1wwa3cRcbsK7oDtNWX5,4Yx1wwa3cRcbsK7oDtNWX5,,BPM:  175.18500000,Danceability:  60%, C, Major,Energy:  52%,Valence:  97%,Acousticness:  33%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  5%
4,Las Ultras,Calibre 50,http://www.spotontrack.com/track/las-ultras/16123275,https://open.spotify.com/track/2msDy1JG13BnX9knEkgDJw,2msDy1JG13BnX9knEkgDJw,,BPM:  119.77700000,Danceability:  88%, A#, Major,Energy:  84%,Valence:  96%,Acousticness:  48%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  9%
5,Yo Me Quiero Mas,El Komander,http://www.spotontrack.com/track/yo-me-quiero-mas/17881210,https://open.spotify.com/track/6zjSeVIYQ8x4KFzrDdhwPz,6zjSeVIYQ8x4KFzrDdhwPz,https://p.scdn.co/mp3-preview/edb4a7299a3f2ecbd087a41d2ad14cee683dde03?cid=null,BPM:  140.11100000,Danceability:  55%, D#, Major,Energy:  52%,Valence:  70%,Acousticness:  62%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  30%
6,Culpable Tu,Alta Consigna,http://www.spotontrack.com/track/culpable-tu/2116383,https://open.spotify.com/track/4eOUnn9bKgUVx6fsbFhuZO,4eOUnn9bKgUVx6fsbFhuZO,https://p.scdn.co/mp3-preview/9c5b2b42251396284c5b25ab3bbcb8ea19e99087?cid=null,BPM:  135.10200000,Danceability:  51%, D, Major,Energy:  36%,Valence:  61%,Acousticness:  68%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  15%
7,Adios Amor,Christian Nodal,http://www.spotontrack.com/track/adios-amor/277084,https://open.spotify.com/track/4pHmECznSREmwzQZMkXZP6,4pHmECznSREmwzQZMkXZP6,,BPM:  89.10500000,Danceability:  60%, D, Major,Energy:  43%,Valence:  72%,Acousticness:  32%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  31%
8,Te Regalo,Ulices Chaidez Y Sus Plebes,http://www.spotontrack.com/track/te-regalo/3451358,https://open.spotify.com/track/7c36pInnsI3DzAGDQcTW99,7c36pInnsI3DzAGDQcTW99,https://p.scdn.co/mp3-preview/e2af849ba0c7a09287d827c2d273a562421ab59b?cid=null,BPM:  136.95800000,Danceability:  69%, C, Major,Energy:  44%,Valence:  71%,Acousticness:  80%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  12%
9,Siempre Te Voy A Querer,Calibre 50,http://www.spotontrack.com/track/siempre-te-voy-a-querer/2170041,https://open.spotify.com/track/3VK8copXwqvAueMPhnBe6K,3VK8copXwqvAueMPhnBe6K,,BPM:  129.86600000,Danceability:  77%, C, Major,Energy:  45%,Valence:  58%,Acousticness:  56%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  13%
10,Dime Qué Se Siente,Luis Coronel,http://www.spotontrack.com/track/dime-que-se-siente/7505864,https://open.spotify.com/track/63nrmbLJEZ883j2QJb8NMb,63nrmbLJEZ883j2QJb8NMb,https://p.scdn.co/mp3-preview/76c33b8b06f4dd9849feb476a4b620ab55d60c52?cid=null,BPM:  147.94400000,Danceability:  60%, G#, Major,Energy:  67%,Valence:  92%,Acousticness:  31%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  15%
11,Te Metiste,Ariel Camacho y Los Plebes Del Rancho,http://www.spotontrack.com/track/te-metiste/9928815,https://open.spotify.com/track/2uJBWMV8A7fCSnrAe4vT9M,2uJBWMV8A7fCSnrAe4vT9M,https://p.scdn.co/mp3-preview/6bad672184a5ded9b96906633e0696d0cfa9f244?cid=null,BPM:  152.18600000,Danceability:  68%, G, Major,Energy:  52%,Valence:  85%,Acousticness:  66%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  8%
