1,Felices los 4,Maluma,http://www.spotontrack.com/track/felices-los-4/19115519,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn,0qYTZCo5Bwh1nsUFGZP3zn,https://p.scdn.co/mp3-preview/1833b3eee258554c6ac92d3b39786ecfcd66a605?cid=null,0.755,0.789,5,-4.502,1,0.146,0.231,0,0.351,0.734,93.973,229849,4
2,Despacito - Remix,Luis Fonsi,http://www.spotontrack.com/track/despacito-remix/18316246,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,5CtI0qwDJkDQGwXD1H1cLb,,0.694,0.815,2,-4.328,1,0.12,0.229,0,0.0924,0.826,88.931,228827,4
3,SUBEME LA RADIO,Enrique Iglesias,http://www.spotontrack.com/track/subeme-la-radio/9927880,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn,7nKBxz47S9SD79N086fuhn,https://p.scdn.co/mp3-preview/0c5945ac04ea45dbc3f44615241bc070415a80f0?cid=null,0.684,0.823,9,-3.297,0,0.0773,0.0744,0,0.111,0.645,91.048,208163,4
4,Me Rehúso,Danny Ocean,http://www.spotontrack.com/track/me-rehuso/3067746,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ,6Zosz8w6CmdGMZM6p4JlbQ,https://p.scdn.co/mp3-preview/edd19436fa7da66fb119cdf301fcd1d1367e888d?cid=null,0.746,0.794,1,-6.331,1,0.0698,0.0258,0,0.0497,0.471,104.827,205741,4
5,El Amante,Nicky Jam,http://www.spotontrack.com/track/el-amante/7211642,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,3umS4y3uQDkqekNjVpiRUs,https://p.scdn.co/mp3-preview/efd798795aee9d827b2a938e044d8e1d96e3d94f?cid=null,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.746,179.91,219507,4
6,Escápate Conmigo,Wisin,http://www.spotontrack.com/track/escpate-conmigo/13472518,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6,2cnKEkpVUSV4wnjQiTWfH6,https://p.scdn.co/mp3-preview/484d7d75b89ab7ef16ff52a02a5e1aa489aec825?cid=null,0.747,0.864,8,-3.181,0,0.0599,0.0245,4.46e-05,0.0853,0.746,92.028,232787,4
7,Ahora Dice,Chris Jeday,http://www.spotontrack.com/track/ahora-dice/13049763,https://open.spotify.com/track/5LVoGJTyG6fLJgoGkY2QAZ,5LVoGJTyG6fLJgoGkY2QAZ,,0.706,0.689,6,-5.533,1,0.17,0.286,0,0.123,0.42,144.127,271080,4
8,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,http://www.spotontrack.com/track/hey-ma-feat-camila-cabello-spanish-version/11565636,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez,2Vdub5mY4lad7w64bFPUez,https://p.scdn.co/mp3-preview/70e4ad03b8b5f39389c1c446ea79abcc2795e931?cid=null,0.489,0.962,0,-2.597,1,0.215,0.0277,6.18e-06,0.128,0.507,104.563,194942,4
9,Chantaje,Shakira,http://www.spotontrack.com/track/chantaje/3741574,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o,1WniHvhq9zTkny0WvGXX8o,https://p.scdn.co/mp3-preview/de968660f6d2ca9cf0063dd04385e9759e90e111?cid=null,0.859,0.756,8,-3.36,0,0.0643,0.168,4.65e-05,0.163,0.913,102.033,195613,4
10,Sigo Extrañándote,J Balvin,http://www.spotontrack.com/track/sigo-extranandote/944739,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8,6qDF4wWL49CAVbgT7yuHl8,,0.889,0.853,9,-4.26,1,0.241,0.154,0.000107,0.205,0.916,93.022,201280,4
