1,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,http://www.spotontrack.com/track/pretty-girl-cheat-codes-x-cade-remix/10535022,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9,39IsH7B5byx8NRlEKlZVg9,https://p.scdn.co/mp3-preview/58cb4a89b49f1b0f0a4e3eae532df7c47bc2a0b8?cid=null,BPM:  121.03000000,Danceability:  70%, G, Minor,Energy:  87%,Valence:  73%,Acousticness:  15%,Instrumentalness:  13%,Speechiness:  3%,Liveness:  10%
2,Summer Air,ItaloBrothers,http://www.spotontrack.com/track/summer-air/2183448,https://open.spotify.com/track/3GPI7hYiqD6enLRobhkBm8,3GPI7hYiqD6enLRobhkBm8,https://p.scdn.co/mp3-preview/166cffc3a4ea1cb7950cd67262b88aa96660a4b0?cid=null,BPM:  102.00200000,Danceability:  76%, G#, Major,Energy:  75%,Valence:  48%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  8%
3,No More Sad Songs (feat. Machine Gun Kelly),Little Mix,http://www.spotontrack.com/track/no-more-sad-songs-feat-machine-gun-kelly/10535020,https://open.spotify.com/track/5ZnJsoJGkQ5K15W7Rcr5JO,5ZnJsoJGkQ5K15W7Rcr5JO,https://p.scdn.co/mp3-preview/fbda790f26b846073afe8b75d7150c748c0b106c?cid=null,BPM:  102.03200000,Danceability:  71%, G, Minor,Energy:  78%,Valence:  71%,Acousticness:  8%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  30%
4,Despacito - Remix,Luis Fonsi,http://www.spotontrack.com/track/despacito-remix/18316246,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,5CtI0qwDJkDQGwXD1H1cLb,,BPM:  88.93100000,Danceability:  69%, D, Major,Energy:  82%,Valence:  83%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  12%,Liveness:  9%
5,September Song,JP Cooper,http://www.spotontrack.com/track/september-song/2129094,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI,0FuTx2s3YH1ppmtiM6l0zI,,BPM:  95.92100000,Danceability:  62%, C, Minor,Energy:  65%,Valence:  40%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  8%
6,Solo Dance,Martin Jensen,http://www.spotontrack.com/track/solo-dance/4231777,https://open.spotify.com/track/3R6dPfF2yBO8mHySW1XDAa,3R6dPfF2yBO8mHySW1XDAa,https://p.scdn.co/mp3-preview/76414b590c5de583123c339afc983f9bd840634f?cid=null,BPM:  114.95500000,Danceability:  75%, A, Major,Energy:  85%,Valence:  42%,Acousticness:  5%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  20%
7,Symphony,Zara Larsson,http://www.spotontrack.com/track/symphony/12616038,https://open.spotify.com/track/4SPLWgCPoKwULz2UTM8TKg,4SPLWgCPoKwULz2UTM8TKg,,BPM:  122.94800000,Danceability:  72%, C, Minor,Energy:  61%,Valence:  47%,Acousticness:  28%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  23%
8,Mama,Jonas Blue,http://www.spotontrack.com/track/mama/21901957,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6,4xlrALxuaCf9yZBHJeTSG6,,BPM:  104.04300000,Danceability:  74%, B, Minor,Energy:  79%,Valence:  53%,Acousticness:  11%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  5%
9,Watching You,Alvaro,http://www.spotontrack.com/track/watching-you/10535236,https://open.spotify.com/track/265yhmmWClZfBmgNPzwOMP,265yhmmWClZfBmgNPzwOMP,https://p.scdn.co/mp3-preview/aa2bacf22469464b44efcab686b8c4210efec19f?cid=null,BPM:  95.05100000,Danceability:  83%, F, Major,Energy:  51%,Valence:  80%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  24%
10,No Vacancy,OneRepublic,http://www.spotontrack.com/track/no-vacancy/20605241,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z,6XOYVSmNDjKUNMXooU4s4z,,BPM:  99.98600000,Danceability:  71%, F, Major,Energy:  73%,Valence:  50%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  14%
11,Give Me Your Love,DEAMN,http://www.spotontrack.com/track/give-me-your-love/6593934,https://open.spotify.com/track/0NXbteSHrnUtx0WJjjWpR9,0NXbteSHrnUtx0WJjjWpR9,https://p.scdn.co/mp3-preview/c2aaa27b693a27aafa5254082f690be50e79f01d?cid=null,None,None,None,None,None,None,None,None,None,None
12,Let Me Love You,SJUR,http://www.spotontrack.com/track/let-me-love-you/5110489,https://open.spotify.com/track/2jfCy43LsFbCQoB6HyetlY,2jfCy43LsFbCQoB6HyetlY,https://p.scdn.co/mp3-preview/9d3f4821de3817de72b9957e4a1f72bdaf69efdc?cid=null,BPM:  105.05800000,Danceability:  46%, G#, Minor,Energy:  83%,Valence:  54%,Acousticness:  12%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  7%
13,TG4M,Zara Larsson,http://www.spotontrack.com/track/tg4m/12616028,https://open.spotify.com/track/4uoumbAMEMaKdtiv763jKz,4uoumbAMEMaKdtiv763jKz,https://p.scdn.co/mp3-preview/7730a462c35b3660ee8d00970b9dc0c80ed3e9e9?cid=null,BPM:  95.03100000,Danceability:  67%, D#, Minor,Energy:  65%,Valence:  59%,Acousticness:  2%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  4%
14,It Ain’t Me (with Selena Gomez),Kygo,http://www.spotontrack.com/track/it-ain-t-me-with-selena-gomez/9066734,https://open.spotify.com/track/12GEpg2XOPyqk03JZEZnJs,12GEpg2XOPyqk03JZEZnJs,,BPM:  99.98300000,Danceability:  65%, C, Major,Energy:  53%,Valence:  50%,Acousticness:  9%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  8%
15,Nights With You,MØ,http://www.spotontrack.com/track/nights-with-you/18943965,https://open.spotify.com/track/5q5gzmbBS5yQzos2BvVr1t,5q5gzmbBS5yQzos2BvVr1t,https://p.scdn.co/mp3-preview/47d05bccc19615cf21014c8421564e64d9ea8c67?cid=null,BPM:  120.06000000,Danceability:  76%, C#, Minor,Energy:  67%,Valence:  61%,Acousticness:  40%,Instrumentalness:  0%,Speechiness:  10%,Liveness:  38%
16,Plot Twist,Sigrid,http://www.spotontrack.com/track/plot-twist/19118498,https://open.spotify.com/track/6E3uDDXfklfVr1dfW7lHy7,6E3uDDXfklfVr1dfW7lHy7,,BPM:  175.91700000,Danceability:  49%, C#, Major,Energy:  66%,Valence:  20%,Acousticness:  0%,Instrumentalness:  17%,Speechiness:  4%,Liveness:  25%
17,Whippin (feat. Felix Snow),Kiiara,http://www.spotontrack.com/track/whippin-feat-felix-snow/17445935,https://open.spotify.com/track/3QWjljChcOMkRDYSzF33Qr,3QWjljChcOMkRDYSzF33Qr,https://p.scdn.co/mp3-preview/ed899d1bb2e78f57385a426eefce614591174f54?cid=null,BPM:  82.53000000,Danceability:  87%, F, Minor,Energy:  50%,Valence:  68%,Acousticness:  55%,Instrumentalness:  0%,Speechiness:  5%,Liveness:  9%
18,Something Just Like This,The Chainsmokers,http://www.spotontrack.com/track/something-just-like-this/9887991,https://open.spotify.com/track/1dNIEtp7AY3oDAKCGg2XkH,1dNIEtp7AY3oDAKCGg2XkH,https://p.scdn.co/mp3-preview/499eefd42a24ec562c464bd7acfad7ed41eb9179?cid=null,BPM:  102.99600000,Danceability:  61%, B, Minor,Energy:  65%,Valence:  47%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  17%
19,History,Olivia Holt,http://www.spotontrack.com/track/history/2989987,https://open.spotify.com/track/3QmOiZF7IzJJkHnahh5Ea0,3QmOiZF7IzJJkHnahh5Ea0,,BPM:  100.96800000,Danceability:  77%, C#, Major,Energy:  63%,Valence:  50%,Acousticness:  9%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  11%
20,Galway Girl,Ed Sheeran,http://www.spotontrack.com/track/galway-girl/10406449,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,0afhq8XCExXpqazXczTSve,https://p.scdn.co/mp3-preview/cec1fc40a0220f20d3b91dd28d8e1141ad5e7e25?cid=null,BPM:  99.94300000,Danceability:  62%, A, Major,Energy:  88%,Valence:  77%,Acousticness:  7%,Instrumentalness:  0%,Speechiness:  10%,Liveness:  33%
21,Call On Me - Ryan Riback Remix,Starley,http://www.spotontrack.com/track/call-on-me-ryan-riback-remix/3285455,https://open.spotify.com/track/2L6orAlH8tBhiFTumIfMyF,2L6orAlH8tBhiFTumIfMyF,https://p.scdn.co/mp3-preview/0dc62f1bd52ecc28fa581aaf8ce9b0048263575f?cid=null,BPM:  104.99800000,Danceability:  67%, C, Major,Energy:  84%,Valence:  69%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  16%
22,Touch,Little Mix,http://www.spotontrack.com/track/touch/5576497,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,5Ua3GXyHwiSfpNTMjq6m2z,https://p.scdn.co/mp3-preview/1da7e81a261e755950041a826f4418096050eb34?cid=null,BPM:  101.82100000,Danceability:  61%, E, Major,Energy:  72%,Valence:  52%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  10%,Liveness:  40%
23,No Matter,Frances,http://www.spotontrack.com/track/no-matter/7401051,https://open.spotify.com/track/3JlEtwzGZ5rC8Dwi7gLoPc,3JlEtwzGZ5rC8Dwi7gLoPc,,BPM:  89.55700000,Danceability:  72%, D#, Major,Energy:  75%,Valence:  63%,Acousticness:  41%,Instrumentalness:  0%,Speechiness:  7%,Liveness:  10%
24,Sooner Or Later,Aaron Carter,http://www.spotontrack.com/track/sooner-or-later/7210244,https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7,4mqvE5F95nKSUrUvUH3YB7,,BPM:  111.93700000,Danceability:  74%, F, Minor,Energy:  73%,Valence:  43%,Acousticness:  13%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  8%
25,Issues,Julia Michaels,http://www.spotontrack.com/track/issues/7056453,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,1sXUWdKx03aP9Gmzft58rt,,BPM:  113.63400000,Danceability:  68%, G#, Major,Energy:  43%,Valence:  43%,Acousticness:  37%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  6%
26,Paris,The Chainsmokers,http://www.spotontrack.com/track/paris/7056426,https://open.spotify.com/track/15vzANxN8G9wWfwAJLLMCg,15vzANxN8G9wWfwAJLLMCg,https://p.scdn.co/mp3-preview/2524797ca9b06a157f21199be68f0f0e94f71661?cid=null,BPM:  99.99900000,Danceability:  65%, D, Major,Energy:  64%,Valence:  26%,Acousticness:  2%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  9%
27,Feel Good,Gryffin,http://www.spotontrack.com/track/feel-good/10406462,https://open.spotify.com/track/6lcSHIwCOopIcW5cT5NXHI,6lcSHIwCOopIcW5cT5NXHI,,BPM:  137.95700000,Danceability:  62%, D, Major,Energy:  71%,Valence:  47%,Acousticness:  22%,Instrumentalness:  0%,Speechiness:  3%,Liveness:  22%
28,Lighthouse - Andrelli Remix,Hearts & Colors,http://www.spotontrack.com/track/lighthouse-andrelli-remix/5110549,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,04CttTezSnv71USiiG9mIo,https://p.scdn.co/mp3-preview/2dff0a9f7374d72c23f544e44928cccf32ff77da?cid=null,None,None,None,None,None,None,None,None,None,None
29,All Night,The Vamps,http://www.spotontrack.com/track/all-night/3056030,https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,1yNyoWWWikbLhwIGWjZuDW,,BPM:  144.94500000,Danceability:  56%, G#, Major,Energy:  78%,Valence:  44%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  33%
30,That´s Me,HEDEGAARD,http://www.spotontrack.com/track/that-s-me/7500909,https://open.spotify.com/track/3Cc3ssgsvdSaEbFT6KHBAv,3Cc3ssgsvdSaEbFT6KHBAv,,BPM:  104.98300000,Danceability:  67%, C, Minor,Energy:  76%,Valence:  51%,Acousticness:  11%,Instrumentalness:  0%,Speechiness:  16%,Liveness:  15%
31,Thumbs,Sabrina Carpenter,http://www.spotontrack.com/track/thumbs/3065247,https://open.spotify.com/track/3UjJP4ludb74a29P5EHEIo,3UjJP4ludb74a29P5EHEIo,,BPM:  135.11800000,Danceability:  72%, G#, Major,Energy:  72%,Valence:  12%,Acousticness:  3%,Instrumentalness:  0%,Speechiness:  6%,Liveness:  9%
32,Shape of You,Ed Sheeran,http://www.spotontrack.com/track/shape-of-you/7006170,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X,0FE9t6xYkqWXU2ahLh6D8X,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=null,BPM:  95.97700000,Danceability:  83%, C#, Minor,Energy:  65%,Valence:  93%,Acousticness:  58%,Instrumentalness:  0%,Speechiness:  8%,Liveness:  9%
33,I Love You,Axwell /\ Ingrosso,http://www.spotontrack.com/track/i-love-you/8633360,https://open.spotify.com/track/11Fo4dAH31K7UZHGqCkCmE,11Fo4dAH31K7UZHGqCkCmE,,BPM:  114.87000000,Danceability:  65%, C, Major,Energy:  86%,Valence:  72%,Acousticness:  34%,Instrumentalness:  0%,Speechiness:  17%,Liveness:  9%
34,Honeymoon Phase,TYSM,http://www.spotontrack.com/track/honeymoon-phase/7505302,https://open.spotify.com/track/5rsFG4QTT3FJsm2t7Wnr03,5rsFG4QTT3FJsm2t7Wnr03,https://p.scdn.co/mp3-preview/2e4f4b7ba8894fe483ef0d0902001ab38234f51c?cid=null,BPM:  196.09000000,Danceability:  65%, C, Major,Energy:  57%,Valence:  58%,Acousticness:  23%,Instrumentalness:  0%,Speechiness:  24%,Liveness:  21%
