1,HUMBLE.,Kendrick Lamar,http://www.spotontrack.com/track/humble/14938591,https://open.spotify.com/track/31c9IHwCIONmUYW0jL7Riz,31c9IHwCIONmUYW0jL7Riz,,BPM:  149.99200000,Danceability:  91%, C#, Minor,Energy:  59%,Valence:  42%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  11%,Liveness:  9%
2,Ni**as In Paris,JAY Z,http://www.spotontrack.com/track/ni-as-in-paris/87269,https://open.spotify.com/track/2Zb7wnGUnNPCas2E0wWSQ5,2Zb7wnGUnNPCas2E0wWSQ5,,BPM:  140.02400000,Danceability:  79%, C#, Major,Energy:  87%,Valence:  79%,Acousticness:  14%,Instrumentalness:  0%,Speechiness:  30%,Liveness:  22%
3,Freaks,Timmy Trumpet,http://www.spotontrack.com/track/freaks/1717335,https://open.spotify.com/track/4f3NHOxgC8Bg21IJBg4cZ3,4f3NHOxgC8Bg21IJBg4cZ3,,BPM:  128.11600000,Danceability:  88%, E, Major,Energy:  96%,Valence:  74%,Acousticness:  1%,Instrumentalness:  26%,Speechiness:  15%,Liveness:  21%
4,Speakerbox (feat. Ohana Bam & Lafa Taylor) - F8 Remix,Various Artists,http://www.spotontrack.com/track/speakerbox-feat-ohana-bam-lafa-taylor-f8-remix/17621729,https://open.spotify.com/track/2S2GQxhLpQO9hnCUsW2Pv7,2S2GQxhLpQO9hnCUsW2Pv7,https://p.scdn.co/mp3-preview/daf89cc44296db72e0094494db1d5b2c9bbc7cae?cid=null,BPM:  87.96900000,Danceability:  58%, G#, Minor,Energy:  88%,Valence:  51%,Acousticness:  2%,Instrumentalness:  0%,Speechiness:  13%,Liveness:  33%
5,Back To Back,Drake,http://www.spotontrack.com/track/back-to-back/1164,https://open.spotify.com/track/5lFDtgWsjRJu8fPOAyJIAK,5lFDtgWsjRJu8fPOAyJIAK,,BPM:  174.00800000,Danceability:  64%, G#, Minor,Energy:  47%,Valence:  37%,Acousticness:  1%,Instrumentalness:  0%,Speechiness:  51%,Liveness:  12%
6,'Till I Collapse,Eminem,http://www.spotontrack.com/track/till-i-collapse/502406,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS,4xkOaSrkexMciUUogZKVTS,,BPM:  171.29700000,Danceability:  57%, C#, Major,Energy:  85%,Valence:  10%,Acousticness:  8%,Instrumentalness:  0%,Speechiness:  22%,Liveness:  8%
7,Numb/Encore,JAY Z,http://www.spotontrack.com/track/numb-encore/70940,https://open.spotify.com/track/7dyluIqv7QYVTXXZiMWPHW,7dyluIqv7QYVTXXZiMWPHW,https://p.scdn.co/mp3-preview/d15a736b153cbfcb6e9067ed24c452e05c5cf231?cid=null,BPM:  107.00500000,Danceability:  69%, D, Major,Energy:  80%,Valence:  79%,Acousticness:  6%,Instrumentalness:  0%,Speechiness:  16%,Liveness:  55%
8,DJ Turn It Up,Yellow Claw,http://www.spotontrack.com/track/dj-turn-it-up/441649,https://open.spotify.com/track/1ivuWgxFQb2xzxVNSlB1hF,1ivuWgxFQb2xzxVNSlB1hF,https://p.scdn.co/mp3-preview/6122811334f20e3ec60ecb213a03aafb482127f6?cid=null,BPM:  102.01800000,Danceability:  83%, C#, Major,Energy:  70%,Valence:  36%,Acousticness:  0%,Instrumentalness:  18%,Speechiness:  5%,Liveness:  11%
9,Numb,Linkin Park,http://www.spotontrack.com/track/numb/10954,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h,2nLtzopw4rPReszdYBJU6h,https://p.scdn.co/mp3-preview/e6ccf7717f8a167bfea4afc1bf7da1a0cd707fbb?cid=null,BPM:  110.01800000,Danceability:  50%, A, Major,Energy:  86%,Valence:  24%,Acousticness:  0%,Instrumentalness:  0%,Speechiness:  4%,Liveness:  64%
10,Oracle,Timmy Trumpet,http://www.spotontrack.com/track/oracle/6785602,https://open.spotify.com/track/2IavT15tYiFl0WCHMJ8HUM,2IavT15tYiFl0WCHMJ8HUM,https://p.scdn.co/mp3-preview/26dffcf1debd09f91b3bd54b57008c47062e3cca?cid=null,BPM:  140.07900000,Danceability:  69%, F#, Major,Energy:  77%,Valence:  16%,Acousticness:  4%,Instrumentalness:  17%,Speechiness:  5%,Liveness:  11%
