1,Sonderling (2016 Edit),Zonderling,http://www.spotontrack.com/track/sonderling-2016-edit/3204648,https://open.spotify.com/track/76nHngOgxQI2rq4u1TpEGX,76nHngOgxQI2rq4u1TpEGX,https://p.scdn.co/mp3-preview/b4af98736076ca3f203ff81ce6950aeeaf2279c6?cid=null,0.966,0.892,7,-2.975,1,0.0993,0.169,0.569,0.127,0.235,124.981,224640,4
2,Fade,Watermät,http://www.spotontrack.com/track/fade/5883716,https://open.spotify.com/track/41FV5H6vodwtGKvN4vYBZu,41FV5H6vodwtGKvN4vYBZu,https://p.scdn.co/mp3-preview/e9c1c5651256abff00ee65f24637450b56f2dc18?cid=null,0.572,0.794,0,-6.862,1,0.0356,0.382,0.714,0.132,0.331,124.031,224516,4
3,Let Me Love You,Dastic,http://www.spotontrack.com/track/let-me-love-you/3702896,https://open.spotify.com/track/3OEL85t52E76PdGNCa5TYj,3OEL85t52E76PdGNCa5TYj,https://p.scdn.co/mp3-preview/a4f5cd3792d0441480499d0852564b3fbaff7b31?cid=null,0.553,0.795,7,-6.641,0,0.0763,0.166,1.04e-06,0.0667,0.482,103.982,203724,4
4,Wicked Ways,DVBBS,http://www.spotontrack.com/track/wicked-ways/5604140,https://open.spotify.com/track/0MCiSsZeG0EgKwegrJBZVd,0MCiSsZeG0EgKwegrJBZVd,,0.583,0.861,10,-2.769,0,0.0728,0.0567,1.23e-05,0.0836,0.278,128.044,218079,4
5,Hear Me Now,Alok,http://www.spotontrack.com/track/hear-me-now/3450096,https://open.spotify.com/track/6OnYQKTc5fbSGbIpaH4KxL,6OnYQKTc5fbSGbIpaH4KxL,https://p.scdn.co/mp3-preview/02e0c22e4a86f5b195f83c62f6fa693b0cf26470?cid=null,0.788,0.43,11,-7.757,1,0.0419,0.537,0.00261,0.0936,0.485,121.996,192846,4
6,ECHO (LET GO),Breathe Carolina,http://www.spotontrack.com/track/echo-let-go/6238531,https://open.spotify.com/track/5wRrFp0QbRIMfWrdUdanE7,5wRrFp0QbRIMfWrdUdanE7,https://p.scdn.co/mp3-preview/8b9a4156e25e19723e898ef4d63e5a343fd5a7ff?cid=null,0.55,0.83,11,-4.431,1,0.0546,0.00821,0,0.118,0.486,133.945,245375,4
7,Remember,TV Noise,http://www.spotontrack.com/track/remember/3702898,https://open.spotify.com/track/6fraMYOJwuSJqi2e6oBYrS,6fraMYOJwuSJqi2e6oBYrS,https://p.scdn.co/mp3-preview/d9c05424c534ebc174c37624415bc97fd225b7d8?cid=null,0.778,0.364,4,-8.376,0,0.0467,0.102,0.000264,0.35,0.667,123.981,162508,4
8,Not Going Home,DVBBS,http://www.spotontrack.com/track/not-going-home/5576541,https://open.spotify.com/track/2PuHj0tUOKud6fVKTZUXRO,2PuHj0tUOKud6fVKTZUXRO,,0.749,0.747,6,-6.457,1,0.121,0.0938,1.17e-05,0.256,0.46,109.063,194960,4
9,Kaleidoscope,Vicetone,http://www.spotontrack.com/track/kaleidoscope/4231671,https://open.spotify.com/track/4l7VZQZ8ycQFqMPFTTsLgv,4l7VZQZ8ycQFqMPFTTsLgv,https://p.scdn.co/mp3-preview/a051dded41bc7b30fa94e3b8dfc65955150c1cd5?cid=null,0.61,0.808,5,-4.018,0,0.0381,0.499,1.17e-05,0.0897,0.43,122.943,214787,4
10,Can't Fight It - Crossnaders Remix,Quintino,http://www.spotontrack.com/track/can-t-fight-it-crossnaders-remix/5883729,https://open.spotify.com/track/19nGV4uGh6uqVk5Sf6UGxy,19nGV4uGh6uqVk5Sf6UGxy,https://p.scdn.co/mp3-preview/0e3fe3ad8518efb946e8e6b738c697ca1cccd807?cid=null,0.734,0.755,8,-4.187,1,0.0332,0.0299,0,0.323,0.482,109.978,219818,4
11,Echo,Pep & Rash,http://www.spotontrack.com/track/echo/4861478,https://open.spotify.com/track/60W8lvIZJwNcYF97L0fsuD,60W8lvIZJwNcYF97L0fsuD,https://p.scdn.co/mp3-preview/18e8d508386a6f82716cea304eaea84caca63674?cid=null,0.784,0.635,6,-4.935,0,0.0481,0.153,0.000234,0.111,0.771,125.989,170962,4
12,Tell My Heart,Nora En Pure,http://www.spotontrack.com/track/tell-my-heart/3450098,https://open.spotify.com/track/1BcJWVkUwerwuaRuRhHEus,1BcJWVkUwerwuaRuRhHEus,https://p.scdn.co/mp3-preview/f120f8cb4447002e08cb2edca07a06f6f05b7158?cid=null,0.725,0.94,0,-4.098,0,0.0488,0.119,4.26e-05,0.251,0.742,121.979,205035,4
13,Let Me Hold You (Turn Me On) - Lost Stories & Crossnaders Remix Edit,Cheat Codes,http://www.spotontrack.com/track/let-me-hold-you-turn-me-on-lost-stories-crossnaders-remix-edit/5604130,https://open.spotify.com/track/1BNwLvYiwFWsdQ2Zxk5aec,1BNwLvYiwFWsdQ2Zxk5aec,https://p.scdn.co/mp3-preview/2b9585770cbd5d3c7ebfdb7937f441021e0c734c?cid=null,0.612,0.659,1,-2.661,0,0.0455,0.0933,0,0.0538,0.425,98.015,211989,4
14,Aren't You High,Bisbetic,http://www.spotontrack.com/track/aren-t-you-high/6483316,https://open.spotify.com/track/69TiyoLx5EbA4JdoBhe5XM,69TiyoLx5EbA4JdoBhe5XM,https://p.scdn.co/mp3-preview/e9e06a3838807cf7962a32b61be24a95a98fdb5d?cid=null,0.603,0.818,0,-3.578,0,0.14,0.000788,6.6e-06,0.0975,0.432,117.903,158662,4
15,Arpe,Raumakustik,http://www.spotontrack.com/track/arpe/3566053,https://open.spotify.com/track/3cSYSNB1k01nGsh1Ot1Cn5,3cSYSNB1k01nGsh1Ot1Cn5,https://p.scdn.co/mp3-preview/fba4ec54a7b51c8871b6becdc8edae276a3d1c69?cid=null,0.662,0.851,0,-5.594,1,0.0627,0.000593,0.953,0.0979,0.33,122.006,208901,4
16,Call On Me - Ryan Riback Remix,Starley,http://www.spotontrack.com/track/call-on-me-ryan-riback-remix/5492518,https://open.spotify.com/track/51lsOIdizBjiI8z2YKjrA2,51lsOIdizBjiI8z2YKjrA2,https://p.scdn.co/mp3-preview/0dc62f1bd52ecc28fa581aaf8ce9b0048263575f?cid=null,0.67,0.838,0,-4.031,1,0.0362,0.0604,0.000611,0.159,0.687,104.998,222041,4
17,Where Are You Now,Cookie Crumbles,http://www.spotontrack.com/track/where-are-you-now/5604122,https://open.spotify.com/track/6FgreRGFXsbEDqIu6cWCQz,6FgreRGFXsbEDqIu6cWCQz,https://p.scdn.co/mp3-preview/0f1443ec5d9097a885e9625539cf9ed999c9b0ab?cid=null,0.674,0.915,5,-3.947,0,0.046,0.00852,5.7e-05,0.316,0.408,124.003,182103,4
18,Blow It Away,Lincoln Jesser,http://www.spotontrack.com/track/blow-it-away/5604128,https://open.spotify.com/track/7mqRfKO7IZSEdVfpIejyRA,7mqRfKO7IZSEdVfpIejyRA,https://p.scdn.co/mp3-preview/79acce819d4a8a826211becd193016dc0e716209?cid=null,0.261,0.775,8,-5.964,0,0.049,0.0053,0.00654,0.124,0.118,159.38,236250,4
19,Mad Love,Ferreck Dawn,http://www.spotontrack.com/track/mad-love/4861479,https://open.spotify.com/track/6nWMUK7mCUsyTiEcaavjlR,6nWMUK7mCUsyTiEcaavjlR,https://p.scdn.co/mp3-preview/296c6f620012cd3fc52cc4dcef3e2e1762ee5ab3?cid=null,0.665,0.849,1,-5.005,0,0.0447,0.069,0.602,0.0786,0.65,121.998,213065,4
20,So Serious,Tavi Castro,http://www.spotontrack.com/track/so-serious/2090133,https://open.spotify.com/track/0qrudaiIlLcnfUc1iozxz5,0qrudaiIlLcnfUc1iozxz5,https://p.scdn.co/mp3-preview/23f3df09574f362560fc908dd0d846c85530de25?cid=null,0.652,0.663,5,-6.299,1,0.039,0.0444,0,0.103,0.658,98.019,205051,4
21,Fade,Kanye West,http://www.spotontrack.com/track/fade/886723,https://open.spotify.com/track/1CJnWD3xbUiP3gEJwuVSsO,1CJnWD3xbUiP3gEJwuVSsO,,0.743,0.77,9,-5.738,0,0.0989,0.102,0,0.314,0.311,105.93,193748,4
22,Eluv8,Armand Van Helden,http://www.spotontrack.com/track/eluv8/3566056,https://open.spotify.com/track/5IKh7CBruNJJygXWIdMn3r,5IKh7CBruNJJygXWIdMn3r,https://p.scdn.co/mp3-preview/6650fbf4486c77c17d3542d387f40d580880a95e?cid=null,0.374,0.849,9,-6.267,0,0.0447,0.00036,0.038,0.257,0.0839,124.019,415068,4
23,D E E P in N Y,Bobby Nourmand,http://www.spotontrack.com/track/d-e-e-p-in-n-y/5435449,https://open.spotify.com/track/0Q9FgkqK3oDpxth0CPGMjb,0Q9FgkqK3oDpxth0CPGMjb,https://p.scdn.co/mp3-preview/ebd4cb67ef677da01c76516d5f0567099e5a1ddb?cid=null,0.679,0.733,6,-4.453,1,0.121,0.125,0,0.317,0.597,120.045,200434,4
24,Tales - Radio Edit,The Alexsander,http://www.spotontrack.com/track/tales/3877672,https://open.spotify.com/track/5jiMS3ivGBO7vw9bcg3bNK,5jiMS3ivGBO7vw9bcg3bNK,https://p.scdn.co/mp3-preview/378ee0cffca121d8d0a333c375deaaa693aff108?cid=null,0.702,0.617,2,-8.175,1,0.0325,0.000441,0.887,0.099,0.0411,119.992,247850,4
25,Breathe,Jonas Aden,http://www.spotontrack.com/track/breathe/4231675,https://open.spotify.com/track/2L7pfjy6MEXPAtm4c0bSNj,2L7pfjy6MEXPAtm4c0bSNj,https://p.scdn.co/mp3-preview/4a58ce5c735011790f00a13dc9060a113ef52b71?cid=null,0.789,0.819,0,-5.338,0,0.0948,0.0406,0.000179,0.47,0.276,123.996,181951,4
26,Himalaya,LVNDSCAPE,http://www.spotontrack.com/track/himalaya/2081906,https://open.spotify.com/track/310yA0OSNvWriki14qBLeY,310yA0OSNvWriki14qBLeY,https://p.scdn.co/mp3-preview/38bcb38f35c70a6e0f5dcff32e29395ff39cc89f?cid=null,0.429,0.774,5,-8.846,0,0.0493,0.032,0.709,0.37,0.0659,119.975,263755,4
27,Gno,Armand Van Helden,http://www.spotontrack.com/track/gno/3566063,https://open.spotify.com/track/3DZB6pywMyxCxB6FFX3mVu,3DZB6pywMyxCxB6FFX3mVu,https://p.scdn.co/mp3-preview/f477ed6f065be5f336f241766a10db983aebc9f0?cid=null,0.812,0.485,1,-8.507,1,0.0515,0.000577,0.00245,0.302,0.194,123.984,213933,4
28,With Every Heartbeat,Son Of 8,http://www.spotontrack.com/track/with-every-heartbeat/3877673,https://open.spotify.com/track/7hszaqqhPkMZ8CHUWUE5ag,7hszaqqhPkMZ8CHUWUE5ag,https://p.scdn.co/mp3-preview/2dfb884546101cf0bfd91b06679d3587b398625d?cid=null,0.707,0.692,4,-5.584,0,0.029,0.0117,0.0128,0.0591,0.21,120.018,197000,4
29,Show Me How To Love,La Fuente,http://www.spotontrack.com/track/show-me-how-to-love/5604123,https://open.spotify.com/track/1njieMpNIspBm9Sji8Mj1k,1njieMpNIspBm9Sji8Mj1k,https://p.scdn.co/mp3-preview/a8a75111bbdfecf1825ecbaae416540350de0a56?cid=null,0.705,0.818,7,-3.473,0,0.0366,0.366,0.00319,0.308,0.472,126.007,171912,4
30,Belated,Fadi & Klinko,http://www.spotontrack.com/track/belated/2101658,https://open.spotify.com/track/1gNTdCfsjlpw2BA0A78ttG,1gNTdCfsjlpw2BA0A78ttG,https://p.scdn.co/mp3-preview/8b3ddd079c0ecbc596548b1389eb17cea8a26310?cid=null,0.698,0.947,8,-3.826,1,0.0515,0.00267,0.0814,0.0909,0.367,126.009,221429,4
31,Roll On,Lincoln Jesser,http://www.spotontrack.com/track/roll-on/5604126,https://open.spotify.com/track/1jhJ3HqjGb3yX5UjU1dJAe,1jhJ3HqjGb3yX5UjU1dJAe,https://p.scdn.co/mp3-preview/c7501d8dd7b3479b7cd93fd0e3f1f8a4a6b3a814?cid=null,0.713,0.779,9,-7.325,0,0.0633,0.104,0.113,0.11,0.103,120.985,217190,4
